Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1950,6 169,4 979,4 313,3 751,3 261,2 829,2 424,2 024,1 719,1 455,1 297,1 058,793,547,334,165,60,10,1,0,0
1951,6 231,5 087,4 401,3 832,3 328,2 888,2 482,2 073,1 752,1 475,1 306,1 081,815,562,343,171,63,12,1,0,0
1952,6 308,5 183,4 487,3 918,3 396,2 945,2 536,2 127,1 785,1 501,1 310,1 104,837,578,353,177,66,14,1,0,0
1953,6 424,5 243,4 576,4 005,3 464,3 000,2 587,2 181,1 817,1 531,1 312,1 125,859,594,363,183,68,16,1,0,0
1954,6 596,5 252,4 671,4 090,3 532,3 054,2 636,2 235,1 853,1 561,1 317,1 141,880,611,373,189,71,17,1,0,0
1955,6 770,5 267,4 773,4 175,3 603,3 110,2 687,2 287,1 893,1 591,1 328,1 154,901,628,384,195,74,18,2,0,0
1956,6 920,5 319,4 876,4 259,3 677,3 168,2 737,2 337,1 936,1 621,1 346,1 161,920,646,395,200,76,19,2,0,0
1957,7 076,5 385,4 968,4 341,3 756,3 229,2 787,2 386,1 984,1 650,1 369,1 164,940,663,406,206,79,20,3,0,0
1958,7 235,5 488,5 027,4 425,3 835,3 288,2 836,2 431,2 034,1 679,1 396,1 166,958,681,418,212,82,21,3,0,0
1959,7 397,5 645,5 037,4 517,3 916,3 352,2 886,2 477,2 084,1 712,1 424,1 171,972,698,430,218,84,21,3,0,0
1960,7 568,5 803,5 052,4 619,4 001,3 423,2 942,2 526,2 134,1 750,1 452,1 181,983,715,442,225,87,22,3,0,0
1961,7 749,5 939,5 102,4 723,4 088,3 500,3 001,2 577,2 183,1 792,1 480,1 198,989,731,455,232,90,23,3,0,0
1962,7 942,6 082,5 166,4 816,4 176,3 583,3 065,2 629,2 231,1 839,1 508,1 220,992,746,468,239,92,24,4,0,0
1963,8 146,6 230,5 267,4 877,4 266,3 670,3 131,2 681,2 279,1 888,1 537,1 245,994,761,481,246,95,25,4,0,0
1964,8 359,6 383,5 419,4 889,4 362,3 757,3 200,2 735,2 326,1 937,1 569,1 271,1 000,773,494,253,98,26,4,0,0
1965,8 576,6 544,5 573,4 906,4 464,3 843,3 272,2 791,2 375,1 985,1 605,1 298,1 010,782,506,261,102,27,4,0,0
1966,8 794,6 714,5 706,4 955,4 565,3 928,3 347,2 849,2 423,2 032,1 645,1 324,1 025,788,518,270,105,28,4,0,0
1967,9 003,6 893,5 844,5 016,4 649,4 007,3 423,2 907,2 471,2 076,1 687,1 348,1 044,791,529,277,108,29,4,0,0
1968,9 209,7 081,5 988,5 111,4 700,4 086,3 500,2 966,2 517,2 118,1 731,1 373,1 065,792,540,285,112,30,5,0,0
1969,9 424,7 275,6 137,5 258,4 706,4 170,3 577,3 028,2 566,2 161,1 775,1 402,1 089,798,549,294,116,31,5,0,0
1970,9 652,7 472,6 293,5 408,4 719,4 263,3 655,3 093,2 617,2 206,1 819,1 435,1 112,807,557,302,120,32,5,0,0
1971,9 907,7 669,6 459,5 538,4 765,4 354,3 732,3 162,2 671,2 252,1 863,1 471,1 136,821,563,311,125,34,5,0,0
1972,10 198,7 866,6 636,5 673,4 825,4 435,3 808,3 235,2 727,2 298,1 906,1 512,1 160,839,567,320,129,35,6,0,0
1973,10 522,8 068,6 822,5 817,4 923,4 491,3 889,3 314,2 788,2 346,1 949,1 555,1 185,860,572,329,134,37,6,0,0
1974,10 890,8 284,7 016,5 969,5 075,4 509,3 980,3 395,2 853,2 397,1 993,1 599,1 214,883,579,337,140,38,6,1,0
1975,11 305,8 521,7 214,6 132,5 238,4 540,4 082,3 480,2 923,2 452,2 040,1 644,1 247,906,590,344,145,40,7,1,0
1976,11 743,8 791,7 414,6 306,5 384,4 606,4 188,3 568,2 998,2 511,2 089,1 689,1 285,930,604,351,152,43,7,1,0
1977,12 196,9 099,7 616,6 492,5 541,4 693,4 291,3 659,3 082,2 574,2 140,1 735,1 326,955,622,357,158,45,7,1,0
1978,12 670,9 439,7 823,6 688,5 707,4 817,4 370,3 755,3 170,2 641,2 193,1 781,1 370,981,643,364,165,48,8,1,0
1979,13 140,9 816,8 043,6 888,5 875,4 989,4 408,3 859,3 260,2 712,2 247,1 827,1 413,1 009,663,371,171,51,9,1,0
1980,13 586,10 229,8 283,7 093,6 054,5 169,4 457,3 971,3 351,2 785,2 304,1 874,1 455,1 039,683,380,176,53,9,1,0
1981,14 011,10 658,8 551,7 293,6 233,5 324,4 533,4 082,3 441,2 861,2 362,1 921,1 497,1 071,702,391,180,56,10,1,0
1982,14 411,11 094,8 849,7 485,6 409,5 473,4 616,4 180,3 527,2 940,2 421,1 967,1 536,1 105,721,403,183,58,10,1,0
1983,14 737,11 507,9 147,7 654,6 560,5 599,4 709,4 233,3 602,3 010,2 473,2 007,1 569,1 135,737,414,185,60,11,1,0
1984,15 030,11 913,9 480,7 836,6 715,5 725,4 845,4 247,3 682,3 081,2 528,2 048,1 602,1 165,754,425,188,62,11,1,0
1985,15 333,12 325,9 874,8 062,6 895,5 874,4 997,4 279,3 779,3 160,2 592,2 096,1 641,1 198,776,437,192,63,12,1,0
1986,15 604,12 711,10 281,8 315,7 068,6 021,5 124,4 337,3 874,3 237,2 657,2 145,1 680,1 230,798,448,197,64,12,1,0
1987,15 851,13 071,10 698,8 601,7 245,6 177,5 256,4 408,3 960,3 314,2 727,2 196,1 719,1 261,821,459,202,65,13,1,0
1988,16 088,13 406,11 129,8 920,7 434,6 345,5 395,4 512,4 023,3 394,2 800,2 250,1 759,1 292,846,470,208,66,13,1,0
1989,16 354,13 713,11 554,9 275,7 641,6 522,5 538,4 659,4 050,3 481,2 875,2 307,1 800,1 323,871,483,214,67,14,1,0
1990,16 668,13 990,11 953,9 665,7 871,6 704,5 688,4 809,4 084,3 574,2 949,2 366,1 842,1 355,895,496,220,69,14,1,0
1991,17 020,14 235,12 327,10 063,8 121,6 880,5 837,4 936,4 142,3 664,3 022,2 426,1 886,1 387,919,510,226,70,14,1,0
1992,17 416,14 455,12 676,10 465,8 396,7 051,5 989,5 064,4 210,3 746,3 093,2 489,1 930,1 418,941,524,230,72,14,1,0
1993,17 858,14 666,12 998,10 885,8 704,7 233,6 150,5 196,4 308,3 804,3 166,2 554,1 976,1 450,962,539,235,74,14,2,0
1994,18 328,14 901,13 292,11 299,9 047,7 430,6 317,5 330,4 446,3 827,3 245,2 620,2 023,1 482,984,553,241,76,14,2,0
1995,18 819,15 178,13 552,11 684,9 419,7 643,6 484,5 466,4 583,3 854,3 327,2 684,2 071,1 514,1 005,566,246,77,15,2,0
1996,19 325,15 496,13 783,12 044,9 799,7 879,6 648,5 605,4 699,3 906,3 408,2 747,2 121,1 547,1 026,578,252,78,15,2,0
1997,19 829,15 861,13 992,12 381,10 189,8 146,6 814,5 751,4 820,3 970,3 483,2 810,2 174,1 581,1 047,590,258,80,15,2,0
1998,20 321,16 272,14 190,12 693,10 592,8 440,6 987,5 902,4 943,4 060,3 535,2 875,2 229,1 617,1 068,603,264,81,15,2,0
1999,20 840,16 716,14 412,12 976,10 987,8 764,7 170,6 057,5 068,4 187,3 555,2 945,2 286,1 655,1 091,616,271,83,16,2,0
2000,21 423,17 189,14 681,13 229,11 356,9 116,7 370,6 214,5 195,4 315,3 580,3 020,2 343,1 696,1 116,630,278,85,16,2,0
2001,22 067,17 688,14 991,13 456,11 703,9 482,7 596,6 372,5 328,4 427,3 630,3 096,2 400,1 739,1 143,645,285,87,17,2,0
2002,22 772,18 190,15 348,13 663,12 030,9 856,7 852,6 530,5 467,4 542,3 692,3 166,2 458,1 785,1 171,660,292,90,17,2,0
2003,23 531,18 687,15 752,13 857,12 329,10 240,8 131,6 693,5 610,4 658,3 777,3 215,2 518,1 833,1 200,676,300,93,17,2,0
2004,24 289,19 209,16 187,14 075,12 600,10 616,8 438,6 867,5 757,4 776,3 897,3 234,2 582,1 882,1 231,693,307,96,18,2,0
2005,25 024,19 791,16 648,14 336,12 838,10 964,8 771,7 055,5 905,4 896,4 016,3 258,2 650,1 931,1 263,710,315,99,18,2,0
2006,25 751,20 431,17 134,14 635,13 046,11 287,9 113,7 266,6 051,5 020,4 120,3 305,2 718,1 980,1 297,729,324,101,19,2,0
2007,26 470,21 133,17 625,14 983,13 237,11 590,9 463,7 504,6 199,5 150,4 226,3 362,2 781,2 030,1 334,749,333,104,20,2,0
2008,27 201,21 887,18 110,15 377,13 418,11 869,9 824,7 766,6 351,5 284,4 335,3 441,2 825,2 081,1 372,769,341,107,20,2,0
2009,27 950,22 644,18 620,15 803,13 625,12 123,10 179,8 055,6 514,5 422,4 445,3 551,2 843,2 136,1 410,790,351,111,21,2,0
2010,28 690,23 382,19 189,16 260,13 883,12 356,10 516,8 376,6 695,5 563,4 559,3 662,2 866,2 195,1 449,812,361,114,22,2,0
